iter	Passed	Remaining
0	151	151115
1	152	76041
2	153	51006
3	154	38464
4	155	30963
5	156	25986
6	157	22387
7	158	19685
8	159	17575
9	160	15891
10	161	14510
11	162	13354
12	163	12380
13	163	11539
14	164	10815
15	165	10172
16	166	9612
17	166	9102
18	167	8658
19	168	8257
20	169	7888
21	169	7554
22	170	7245
23	171	6967
24	172	6711
25	172	6478
26	173	6259
27	174	6054
28	175	5862
29	175	5684
30	176	5518
31	177	5357
32	177	5209
33	178	5070
34	179	4936
35	179	4810
36	180	4691
37	180	4580
38	182	4486
39	182	4390
40	183	4299
41	184	4207
42	185	4119
43	185	4034
44	186	3952
45	186	3874
46	187	3798
47	188	3730
48	188	3664
49	189	3600
50	190	3537
51	190	3475
52	191	3416
53	191	3359
54	192	3304
55	193	3253
56	193	3204
57	194	3156
58	195	3110
59	195	3065
60	196	3022
61	197	2980
62	197	2939
63	198	2898
64	198	2859
65	199	2821
66	199	2784
67	200	2744
68	200	2709
69	201	2675
70	201	2642
71	202	2611
72	203	2581
73	203	2550
74	204	2522
75	205	2493
76	205	2465
77	206	2437
78	206	2410
79	207	2384
80	207	2358
81	208	2332
82	208	2307
83	209	2282
84	209	2256
85	210	2233
86	210	2208
87	210	2185
88	211	2163
89	211	2141
90	212	2120
91	212	2100
92	213	2080
93	213	2060
94	214	2040
95	214	2021
96	215	2003
97	215	1985
98	216	1967
99	216	1950
100	219	1955
101	225	1987
102	231	2012
103	231	1997
104	232	1983
105	233	1967
106	234	1953
107	234	1937
108	235	1922
109	235	1907
110	236	1892
111	236	1877
112	237	1863
113	237	1849
114	238	1835
115	238	1820
116	239	1807
117	240	1795
118	240	1781
119	241	1768
120	241	1756
121	242	1743
122	242	1729
123	243	1717
124	243	1706
125	244	1694
126	244	1683
127	245	1670
128	245	1659
129	246	1648
130	246	1637
131	247	1627
132	248	1617
133	248	1606
134	249	1596
135	249	1585
136	250	1576
137	254	1589
138	264	1636
139	264	1627
140	265	1617
141	266	1607
142	266	1597
143	267	1587
144	267	1577
145	267	1567
146	268	1557
147	268	1547
148	269	1537
149	269	1528
150	270	1518
151	270	1509
152	271	1500
153	271	1491
154	271	1482
155	272	1473
156	272	1464
157	273	1456
158	273	1447
159	274	1439
160	274	1431
161	275	1422
162	275	1414
163	276	1406
164	276	1399
165	277	1393
166	278	1386
167	278	1379
168	278	1371
169	279	1364
170	279	1356
171	280	1349
172	280	1342
173	281	1335
174	281	1327
175	282	1320
176	282	1313
177	283	1306
178	283	1300
179	283	1293
180	284	1285
181	284	1279
182	285	1272
183	285	1266
184	285	1259
185	286	1253
186	286	1247
187	287	1241
188	287	1234
189	288	1228
190	288	1222
191	289	1216
192	289	1210
193	290	1205
194	290	1199
195	291	1194
196	291	1189
197	296	1202
198	306	1234
199	307	1229
200	308	1224
201	308	1219
202	309	1214
203	309	1209
204	310	1203
205	311	1198
206	322	1234
207	326	1242
208	326	1236
209	327	1231
210	327	1226
211	328	1221
212	328	1215
213	329	1210
214	329	1204
215	330	1198
216	330	1193
217	331	1188
218	331	1182
219	332	1177
220	332	1172
221	332	1166
222	333	1161
223	333	1156
224	334	1151
225	334	1146
226	335	1141
227	335	1136
228	336	1131
229	336	1126
230	336	1121
231	337	1117
232	338	1112
233	338	1108
234	339	1104
235	339	1099
236	340	1095
237	340	1090
238	341	1085
239	341	1081
240	341	1076
241	342	1072
242	342	1067
243	343	1063
244	343	1058
245	344	1054
246	344	1050
247	344	1046
248	345	1041
249	345	1037
250	346	1033
251	346	1029
252	347	1025
253	347	1020
254	348	1016
255	348	1012
256	348	1008
257	349	1004
258	349	1000
259	350	996
260	350	993
261	351	989
262	351	985
263	352	981
264	352	978
265	353	976
266	354	972
267	354	969
268	355	965
269	355	961
270	356	957
271	356	954
272	356	950
273	357	947
274	357	943
275	358	939
276	358	936
277	359	932
278	359	929
279	360	925
280	360	922
281	360	919
282	361	915
283	361	912
284	362	908
285	362	905
286	363	902
287	363	899
288	364	895
289	364	892
290	365	891
291	379	919
292	385	930
293	396	952
294	397	949
295	397	945
296	398	942
297	399	940
298	399	937
299	400	934
300	400	931
301	401	927
302	402	924
303	406	931
304	417	950
305	419	951
306	432	976
307	444	999
308	447	1001
309	448	998
310	449	995
311	457	1008
312	464	1019
313	465	1016
314	465	1013
315	466	1009
316	467	1006
317	467	1002
318	468	999
319	468	996
320	473	1002
321	482	1016
322	483	1013
323	483	1009
324	488	1014
325	497	1028
326	497	1024
327	506	1038
328	512	1044
329	512	1041
330	513	1037
331	513	1034
332	514	1030
333	515	1026
334	515	1023
335	516	1019
336	516	1016
337	517	1013
338	525	1025
339	532	1034
340	533	1030
341	538	1035
342	547	1049
343	552	1054
344	563	1069
345	575	1088
346	584	1100
347	593	1112
348	594	1108
349	594	1104
350	598	1106
351	610	1123
352	622	1141
353	626	1143
354	638	1160
355	640	1157
356	646	1163
357	654	1174
358	665	1189
359	670	1191
360	670	1187
361	671	1183
362	671	1178
363	672	1174
364	672	1170
365	679	1177
366	687	1185
367	687	1180
368	688	1176
369	688	1172
370	689	1168
371	689	1164
372	690	1159
373	690	1155
374	690	1151
375	691	1147
376	692	1143
377	692	1139
378	693	1135
379	693	1131
380	693	1127
381	694	1123
382	698	1124
383	709	1137
384	709	1133
385	710	1130
386	711	1126
387	716	1129
388	726	1141
389	726	1137
390	727	1133
391	727	1129
392	728	1125
393	728	1120
394	729	1117
395	729	1113
396	730	1109
397	730	1105
398	731	1101
399	731	1097
400	731	1093
401	732	1089
402	732	1085
403	733	1081
404	733	1077
405	734	1074
406	734	1070
407	735	1066
408	736	1063
409	738	1063
410	749	1073
411	750	1070
412	753	1071
413	764	1082
414	765	1078
415	766	1075
416	766	1072
417	767	1068
418	767	1064
419	768	1060
420	768	1057
421	769	1053
422	769	1049
423	769	1045
424	770	1042
425	770	1038
426	771	1034
427	771	1031
428	772	1027
429	772	1024
430	772	1020
431	773	1016
432	773	1013
433	774	1009
434	774	1006
435	775	1002
436	775	999
437	776	995
438	776	992
439	776	988
440	777	985
441	777	981
442	778	978
443	778	975
444	783	977
445	794	986
446	795	984
447	796	980
448	796	977
449	797	974
450	797	971
451	798	967
452	798	964
453	799	960
454	799	957
455	799	954
456	800	950
457	800	947
